"","date","cases"
"267",2020-11-22,142
"268",2020-11-23,177
"269",2020-11-24,163
"270",2020-11-25,154
"271",2020-11-26,167
"272",2020-11-27,148
"273",2020-11-28,127
"274",2020-11-29,120
"275",2020-11-30,120
"276",2020-12-01,157
"277",2020-12-02,139
"278",2020-12-03,131
"279",2020-12-04,111
"280",2020-12-05,116
"281",2020-12-06,97
"282",2020-12-07,104
"283",2020-12-08,133
"284",2020-12-09,144
"285",2020-12-10,124
"286",2020-12-11,107
"287",2020-12-12,104
"288",2020-12-13,95
"289",2020-12-14,89
"290",2020-12-15,107
"291",2020-12-16,140
"292",2020-12-17,107
"293",2020-12-18,93
"294",2020-12-19,117
"295",2020-12-20,83
"296",2020-12-21,74
"297",2020-12-22,92
"298",2020-12-23,98
"299",2020-12-24,91
"300",2020-12-25,70
"301",2020-12-26,53
"302",2020-12-27,71
"303",2020-12-28,75
"304",2020-12-29,125
"305",2020-12-30,76
"306",2020-12-31,99
