"","date","cases"
"267",2020-11-22,433
"268",2020-11-23,408
"269",2020-11-24,553
"270",2020-11-25,604
"271",2020-11-26,497
"272",2020-11-27,413
"273",2020-11-28,589
"274",2020-11-29,427
"275",2020-11-30,282
"276",2020-12-01,494
"277",2020-12-02,492
"278",2020-12-03,432
"279",2020-12-04,352
"280",2020-12-05,518
"281",2020-12-06,364
"282",2020-12-07,389
"283",2020-12-08,370
"284",2020-12-09,485
"285",2020-12-10,497
"286",2020-12-11,475
"287",2020-12-12,505
"288",2020-12-13,353
"289",2020-12-14,307
"290",2020-12-15,355
"291",2020-12-16,391
"292",2020-12-17,412
"293",2020-12-18,420
"294",2020-12-19,363
"295",2020-12-20,308
"296",2020-12-21,242
"297",2020-12-22,307
"298",2020-12-23,301
"299",2020-12-24,367
"300",2020-12-25,264
"301",2020-12-26,203
"302",2020-12-27,309
"303",2020-12-28,246
"304",2020-12-29,354
"305",2020-12-30,338
"306",2020-12-31,378
