"","date","cases"
"267",2020-11-22,49
"268",2020-11-23,61
"269",2020-11-24,57
"270",2020-11-25,64
"271",2020-11-26,53
"272",2020-11-27,85
"273",2020-11-28,50
"274",2020-11-29,60
"275",2020-11-30,80
"276",2020-12-01,79
"277",2020-12-02,76
"278",2020-12-03,73
"279",2020-12-04,67
"280",2020-12-05,86
"281",2020-12-06,78
"282",2020-12-07,52
"283",2020-12-08,98
"284",2020-12-09,86
"285",2020-12-10,114
"286",2020-12-11,80
"287",2020-12-12,83
"288",2020-12-13,62
"289",2020-12-14,78
"290",2020-12-15,87
"291",2020-12-16,52
"292",2020-12-17,54
"293",2020-12-18,61
"294",2020-12-19,68
"295",2020-12-20,85
"296",2020-12-21,52
"297",2020-12-22,56
"298",2020-12-23,72
"299",2020-12-24,50
"300",2020-12-25,36
"301",2020-12-26,50
"302",2020-12-27,54
"303",2020-12-28,48
"304",2020-12-29,68
"305",2020-12-30,107
"306",2020-12-31,81
